"","CCA1","CCA2","CCA3"
"1",14.4185457001618,2.73420673767696,1.32239654646392
"SMB_2",0.712148859439943,0.280895183128984,0.179002832856157
"SMB_1",0.608059682683527,0.251304418458426,-0.0105813876552031
"Year",0.57054056772179,-0.0454098405362768,-0.386768678392289
"B",0.53259246225309,0.250165501827316,0.330797616983495
"C",0.385349132579867,0.21756704203876,0.0383220554915989
"CW",-0.35820525818887,0.665340937304756,-0.511365507089915
"EV",-0.513940853593812,0.604338839389875,-0.156192926363223
"FW",0.23590368700221,0.180262494692221,0.0703177296776261
"O",-0.239009149933717,-0.107581817584123,-0.707962578662129
"SV",-0.194740318713475,0.245653514880565,-0.427812022023636
"CC_1",-0.678407924022565,-0.309436865645907,0.199953166723239
"CC_2",-0.419323263077778,0.176885513483715,-0.0783693492807607
"CS_1",-0.730213360063114,0.19673591684494,-0.00833417609881055
"CS_2",-0.34855585902638,0.678993366766878,-0.565864821490517
"MM_1",-0.204276972773287,-0.864862191284289,-0.305019011089901
"MM_2",-0.268460851173166,-0.639259719719571,-0.384751855660489
"WS_1",-0.146574724687673,0.0303901418945234,0.190995892767294
"WS_2",0.178898794587456,-0.0941272358931207,0.158901023497009
"PS_1",0.335911648892306,0.00176892275639835,-0.0559557890006506
"PS_2",0.59608531514323,0.121299113280954,0.223485030511665
