"","WATER","SITE_N","Habitat"
"1","FBL","BEF.FBL.001","RW"
"2","FBL","BEF.FBL.002","S"
"3","FBL","BEF.FBL.003","S"
"4","FBL","BEF.FBL.004","SW"
"5","FBL","BEF.FBL.005","SW"
"6","FBL","BEF.FBL.006","RW"
"7","FBL","BEF.FBL.007","S"
"8","FBL","BEF.FBL.008","S"
"9","FBL","BEF.FBL.009","S"
"10","FBL","BEF.FBL.010","RW"
"11","FBL","BEF.FBL.011","SW"
"12","FBL","BEF.FBL.012","SW"
"13","FBL","BEF.FBL.013","S"
"14","FBL","BEF.FBL.014","S"
"15","FBL","BEF.FBL.015","S"
"16","LML","BEF.LML.001","R"
"17","LML","BEF.LML.002","S"
"18","LML","BEF.LML.003","R"
"19","LML","BEF.LML.004","S"
"20","LML","BEF.LML.005","SW"
"21","LML","BEF.LML.006","R"
"22","LML","BEF.LML.007","R"
"23","LML","BEF.LML.008","R"
"24","LML","BEF.LML.009","R"
"25","LML","BEF.LML.010","RW"
"26","LML","BEF.LML.011","R"
"27","LML","BEF.LML.012","S"
"28","LML","BEF.LML.013","R"
"29","LML","BEF.LML.014","RW"
"30","LML","BEF.LML.015","RW"
"31","LML","BEF.LML.016","R"
"32","LML","BEF.LML.017","R"
"33","LML","BEF.LML.018","S"
"34","LML","BEF.LML.019","SW"
"35","LML","BEF.LML.020","SW"
"36","LML","BEF.LML.021","S"
"37","LML","BEF.LML.022","R"
"38","LML","BEF.LML.023","S"
"39","LML","BEF.LML.024","SW"
"40","LML","BEF.LML.025","SW"
"41","LML","BEF.LML.026","R"
"42","LML","BEF.LML.027","SW"
"43","LML","BEF.LML.028","S"
"44","LML","BEF.LML.029","R"
"45","LML","BEF.LML.030","R"
"46","LML","BEF.LML.031","S"
"47","LML","BEF.LML.032","S"
"48","FBL","BEF.FBL.016","S"
"49","FBL","BEF.FBL.017","R"
"50","FBL","BEF.FBL.018","S"
"51","FBL","BEF.FBL.019","RW"
"52","FBL","BEF.FBL.020","S"
"53","FBL","BEF.FBL.021","RW"
"54","FBL","BEF.FBL.022","RW"
"55","FBL","BEF.FBL.023","S"
"56","FBL","BEF.FBL.024","SW"
"57","FBL","BEF.FBL.025","S"
"58","FBL","BEF.FBL.026","R"
"59","FBL","BEF.FBL.027","S"
"60","FBL","BEF.FBL.028","R"
"61","FBL","BEF.FBL.029","S"
"62","FBL","BEF.FBL.030","SW"
"63","FBL","BEF.FBL.031","SW"
"64","FBL","BEF.FBL.032","SW"
"65","FBL","BEF.FBL.033","S"
"66","FBL","BEF.FBL.034","SW"
"67","FBL","BEF.FBL.035","SW"
"68","FBL","BEF.FBL.036","S"
"69","FBL","BEF.FBL.037","S"
"70","FBL","BEF.FBL.038","S"
"71","FBL","BEF.FBL.039","S"
